scenario,method,n,mean,sd,p05,p25,p50,p75,p95
dry/bev,C_audit_uniform,11554,0.028354,0.007522,0.017237,0.022839,0.027569,0.033416,0.041877
dry/bev,B_exo_draw,11554,0.053145,0.018972,0.028381,0.039715,0.049971,0.063056,0.088758
dry/bev,D_phase2,20,0.032456,0.009601,0.018103,0.027066,0.032067,0.037916,0.048176
dry/diesel,C_audit_uniform,17850,0.020201,0.015677,0.01248,0.013752,0.014829,0.016203,0.064085
dry/diesel,A_old_stored,3452,0.028288,0.010145,0.016567,0.021019,0.025883,0.032893,0.048661
dry/diesel,B_exo_draw,14398,0.041427,0.037514,0.016805,0.02184,0.027785,0.039115,0.127231
dry/diesel,D_phase2,20,0.07429,0.004749,0.069105,0.070475,0.073696,0.076579,0.083144
refrigerated/bev,C_audit_uniform,200,0.046276,0.012068,0.029974,0.037416,0.045277,0.05365,0.070683
refrigerated/bev,B_exo_draw,200,0.088858,0.029891,0.049652,0.066608,0.080674,0.105532,0.14028
refrigerated/bev,D_phase2,20,0.28833,0.106611,0.140584,0.228049,0.284909,0.332178,0.437945
refrigerated/diesel,C_audit_uniform,43268,0.014662,0.001498,0.012359,0.013606,0.014568,0.01561,0.017274
refrigerated/diesel,A_old_stored,43268,0.048057,0.017583,0.027424,0.035546,0.044211,0.056121,0.082854
refrigerated/diesel,D_phase2,20,0.668364,0.225734,0.325368,0.565435,0.663923,0.745453,1.075532
